SUITABLE CROPS \ SOIL TYPE,Black Soils,Red Soil,Sandy Clay Loam,Lateritic soil,Calcareous Soil,Sandy Loam,Loamy sand,Brown soil,Clay loam,Alluvial soil,Brown Soil Non Calcareous,Red Calcareous
Rice ,1,1,0,1,0,0,0,0,0,1,0,0
Sugarcane,1,1,0,0,1,0,0,1,0,0,0,0
Wheat,1,1,0,1,0,0,0,1,1,1,0,0
Jowar,1,0,0,0,0,0,0,0,0,0,0,0
Citrus fruits,1,1,0,0,0,0,0,0,0,0,0,0
Millets,1,1,0,0,0,0,0,0,0,0,0,0
Corn,0,1,1,0,0,1,0,0,0,1,1,0
Ragi,0,1,0,0,0,0,0,0,0,0,0,0
Groundnut,0,1,0,0,0,0,0,0,0,1,0,1
Potato,0,1,0,0,0,0,0,0,0,0,0,0
Oilseeds,0,1,0,0,0,0,0,0,0,1,0,0
Pulses,0,1,0,1,0,0,0,0,1,0,0,0
Mango,0,1,0,0,0,0,0,0,0,0,0,0
Green beans,0,0,1,0,0,1,0,0,0,0,0,0
Carrots,0,0,1,0,0,1,1,0,0,0,0,0
Eggplant,0,0,1,0,0,1,0,0,0,0,0,0
Radish,0,0,1,0,0,1,1,0,0,0,0,1
Spinach,0,0,1,0,0,1,1,0,0,0,0,0
Tomatoes,0,0,1,0,0,0,0,0,0,0,0,0
Peppers,0,0,1,0,0,0,0,0,0,0,0,0
Cucumber,0,0,1,0,0,0,0,0,0,0,0,0
Onion,0,0,1,0,0,0,0,0,0,0,0,0
Cotton ,0,0,0,1,0,0,0,1,0,1,1,0
Tea ,0,0,0,1,0,0,0,0,0,0,0,0
Coffee,0,0,0,1,0,0,0,0,0,0,0,0
Rubber,0,0,0,1,0,0,0,0,0,0,0,0
Coconut,0,0,0,1,0,0,0,0,0,0,0,0
Cashews,0,0,0,1,0,0,0,0,0,0,0,0
Paddy ,0,0,0,0,1,0,0,1,1,0,0,0
Sorghum,0,0,0,0,1,0,0,1,0,0,0,0
Castor,0,0,0,0,1,0,0,0,0,0,0,0
Beetroot,0,0,0,0,0,0,1,0,0,0,0,0
Lettuce,0,0,0,0,0,0,1,0,0,0,0,0
Cabbage,0,0,0,0,0,0,1,0,0,0,0,0
Gram,0,0,0,0,0,0,0,0,1,1,0,0
Lentils,0,0,0,0,0,0,0,0,1,0,0,0
Soybean,0,0,0,0,0,0,0,0,0,1,1,0
Mustard,0,0,0,0,0,0,0,0,0,1,0,0
Jute,0,0,0,0,0,0,0,0,0,1,0,0
Chickpea,0,0,0,0,0,0,0,0,0,1,0,0
Barley,0,0,0,0,0,0,0,0,0,1,0,0
Bajra ,0,0,0,0,0,0,0,0,0,1,0,0
Pea,0,0,0,0,0,0,0,0,0,1,0,0
Alfalfa,0,0,0,0,0,0,0,0,0,0,1,0
Rapeseed,0,0,0,0,0,0,0,0,0,0,0,1
