State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Yield,Soil_type:Red,Soil_type:Black,Soil_type:Laterite,Soil_type:Saline,Soil_type:Alluvial
Tamil Nadu,ARIYALUR,2008,Kharif,Rice,24574,,0,1,0,0,0,1
Tamil Nadu,ARIYALUR,2008,Whole Year,Arhar/Tur,209,,0,1,0,0,0,1
Tamil Nadu,ARIYALUR,2008,Whole Year,Bajra,565,,0,1,0,0,0,1
Tamil Nadu,ARIYALUR,2008,Whole Year,Banana,190,,0,1,0,0,0,1
Tamil Nadu,ARIYALUR,2008,Whole Year,Cashewnut,31113,,0,1,0,0,0,1
Tamil Nadu,ARIYALUR,2008,Whole Year,Castor seed,27,,0,1,0,0,0,1
Tamil Nadu,ARIYALUR,2008,Whole Year,Coconut,335,,0,1,0,0,0,1
Tamil Nadu,ARIYALUR,2008,Whole Year,Coriander,460,,0,1,0,0,0,1
Tamil Nadu,ARIYALUR,2008,Whole Year,Cotton(lint),3566,,0,1,0,0,0,1
Tamil Nadu,ARIYALUR,2008,Whole Year,Dry chillies,1774,,0,1,0,0,0,1
Tamil Nadu,ARIYALUR,2008,Whole Year,Groundnut,14528,,0,1,0,0,0,1
Tamil Nadu,ARIYALUR,2008,Whole Year,Jowar,6674,,0,1,0,0,0,1
Tamil Nadu,ARIYALUR,2008,Whole Year,Maize,9797,,0,1,0,0,0,1
Tamil Nadu,ARIYALUR,2008,Whole Year,Moong(Green Gram),39,,0,1,0,0,0,1
Tamil Nadu,ARIYALUR,2008,Whole Year,Onion,21,,0,1,0,0,0,1
Tamil Nadu,ARIYALUR,2008,Whole Year,Ragi,13,,0,1,0,0,0,1
Tamil Nadu,ARIYALUR,2008,Whole Year,Sugarcane,8608,,0,1,0,0,0,1
Tamil Nadu,ARIYALUR,2008,Whole Year,Sunflower,221,,0,1,0,0,0,1
Tamil Nadu,ARIYALUR,2008,Whole Year,Sweet potato,2,,0,1,0,0,0,1
Tamil Nadu,ARIYALUR,2008,Whole Year,Tapioca,258,,0,1,0,0,0,1
Tamil Nadu,ARIYALUR,2008,Whole Year,Turmeric,10,,0,1,0,0,0,1
Tamil Nadu,ARIYALUR,2008,Whole Year,Urad,1192,,0,1,0,0,0,1
Tamil Nadu,ARIYALUR,2009,Kharif,Rice,25978,80462,3.097313111,1,0,0,0,1
Tamil Nadu,ARIYALUR,2009,Kharif,Small millets,404,649,1.606435644,1,0,0,0,1
Tamil Nadu,ARIYALUR,2009,Whole Year,Arhar/Tur,160,122,0.7625,1,0,0,0,1
Tamil Nadu,ARIYALUR,2009,Whole Year,Bajra,644,1082,1.680124224,1,0,0,0,1
Tamil Nadu,ARIYALUR,2009,Whole Year,Banana,134,5761,42.99253731,1,0,0,0,1
Tamil Nadu,ARIYALUR,2009,Whole Year,Cashewnut,31188,9975,0.3198345518,1,0,0,0,1
Tamil Nadu,ARIYALUR,2009,Whole Year,Castor seed,21,6,0.2857142857,1,0,0,0,1
Tamil Nadu,ARIYALUR,2009,Whole Year,Coconut,336,5200,15.47619048,1,0,0,0,1
Tamil Nadu,ARIYALUR,2009,Whole Year,Coriander,338,134,0.3964497041,1,0,0,0,1
Tamil Nadu,ARIYALUR,2009,Whole Year,Cotton(lint),4074,11033,2.708149239,1,0,0,0,1
Tamil Nadu,ARIYALUR,2009,Whole Year,Dry chillies,1676,608,0.3627684964,1,0,0,0,1
Tamil Nadu,ARIYALUR,2009,Whole Year,Groundnut,13878,27002,1.945669405,1,0,0,0,1
Tamil Nadu,ARIYALUR,2009,Whole Year,Jowar,4959,7043,1.420246017,1,0,0,0,1
Tamil Nadu,ARIYALUR,2009,Whole Year,Maize,9979,23891,2.394127668,1,0,0,0,1
Tamil Nadu,ARIYALUR,2009,Whole Year,Moong(Green Gram),13,11,0.8461538462,1,0,0,0,1
Tamil Nadu,ARIYALUR,2009,Whole Year,Onion,47,458,9.744680851,1,0,0,0,1
Tamil Nadu,ARIYALUR,2009,Whole Year,Ragi,47,130,2.765957447,1,0,0,0,1
Tamil Nadu,ARIYALUR,2009,Whole Year,Sesamum,1652,452,0.2736077482,1,0,0,0,1
Tamil Nadu,ARIYALUR,2009,Whole Year,Sugarcane,6970,809944,116.2043042,1,0,0,0,1
Tamil Nadu,ARIYALUR,2009,Whole Year,Sunflower,111,148,1.333333333,1,0,0,0,1
Tamil Nadu,ARIYALUR,2009,Whole Year,Sweet potato,2,29,14.5,1,0,0,0,1
Tamil Nadu,ARIYALUR,2009,Whole Year,Tapioca,257,8858,34.46692607,1,0,0,0,1
Tamil Nadu,ARIYALUR,2009,Whole Year,Turmeric,21,106,5.047619048,1,0,0,0,1
Tamil Nadu,ARIYALUR,2009,Whole Year,Urad,1046,400,0.3824091778,1,0,0,0,1
Tamil Nadu,ARIYALUR,2010,Kharif,Arhar/Tur,209,138,0.6602870813,1,0,0,0,1
Tamil Nadu,ARIYALUR,2010,Kharif,Castor seed,27,7,0.2592592593,1,0,0,0,1
